"ID_outbreak","OCV_before_1","OCV_before_2","OCV_before_3","OCV_during","OCV_after_1","spatial_scale","Num_doses","Target_pop","Start_date"
"AFR::UGA::Buliisa-2013-07-22-2013-11-03",FALSE,FALSE,FALSE,FALSE,FALSE,"smaller",123147,"132021","2019-12-10"
"AFR::UGA::Hoima-2015-09-28-2015-11-15",FALSE,FALSE,FALSE,FALSE,FALSE,"smaller",332893,"360621","2018-06-28"
"AFR::SSD::Kapoeta::Kapoeta North-2017-05-29-2017-08-06",FALSE,FALSE,FALSE,TRUE,FALSE,"same",73323,"141520.09","2017-06-29"
"AFR::SSD::Kapoeta::Kapoeta North-2017-05-29-2017-08-06",FALSE,FALSE,FALSE,FALSE,FALSE,"same",71406,"141520.09","2017-08-11"
"AFR::SSD::Fangak::Ayod-2017-04-03-2017-07-16",FALSE,FALSE,FALSE,TRUE,FALSE,"same",11140,"18550","2017-06-20"
"AFR::SSD::Fangak::Ayod-2017-04-03-2017-07-16",FALSE,FALSE,FALSE,FALSE,FALSE,"same",11953,"18550","2017-07-18"
"AFR::SSD::Kapoeta::Budi-2017-07-17-2017-11-26",FALSE,FALSE,FALSE,TRUE,FALSE,"same",89377,"147476","2017-11-18"
"AFR::SSD::Kapoeta::Budi-2017-07-17-2017-11-26",FALSE,FALSE,FALSE,FALSE,FALSE,"same",94218,"147476","2018-01-18"
"AFR::SSD::Fangak::Ayod-2017-04-03-2017-07-16",FALSE,FALSE,FALSE,TRUE,FALSE,"same",19592,"","2017-05-09"
"AFR::SSD::Northern Liech::Rubkona::Bentiu Town-2016-10-24-2017-01-15",FALSE,FALSE,FALSE,FALSE,FALSE,"larger",15836,"","2017-06-01"
"AFR::SSD::Northern Liech::Rubkona-2016-10-17-2017-03-19",FALSE,FALSE,FALSE,FALSE,FALSE,"same",16072,"","2017-06-01"
"AFR::SSD::Northern Liech::Rubkona::Bentiu Town-2016-10-24-2017-01-15",FALSE,FALSE,FALSE,FALSE,FALSE,"larger",16072,"","2017-06-01"
"AFR::SSD::Northern Liech::Rubkona::Bentiu Town-2016-10-24-2017-01-15",FALSE,FALSE,FALSE,FALSE,FALSE,"larger",20395,"","2017-07-11"
"AFR::SSD::Northern Liech::Rubkona-2016-10-17-2017-03-19",FALSE,FALSE,FALSE,FALSE,FALSE,"same",17993,"","2017-07-11"
"AFR::SSD::Northern Liech::Rubkona::Bentiu Town-2016-10-24-2017-01-15",FALSE,FALSE,FALSE,FALSE,FALSE,"larger",17993,"","2017-07-11"
